operateur,filiere,annee,code_region,region,code_conso,secteur,nb_sites,conso_totale,conso_moyenne
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,88,31990.1727357533,363.524690179015
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,4,1805.65824552224,451.41456138056
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,93,125095.740463105,1345.11548885059
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,13,34850.1882942501,2680.78371494232
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,133,239539.416465555,1801.04824410192
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,211,67861.8570517521,321.620175600721
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,20,79740.1322043642,3987.00661021821
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,377,165047.559353257,437.791934624024
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,59,69977.492070147,1186.05918762961
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,29,9639.72428646675,332.404285740233
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,130,90717.7978946463,697.829214574202
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,58,15507.2777660502,267.366858035348
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,43,12443.1333119336,289.375193300781
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,58,8504.36390919647,146.626963951663
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,40,62435.9742594684,1560.89935648671
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,31,10415.4389756158,335.981902439219
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,412,158157.21634452,383.876738700291
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,190,14271.8595633254,75.1150503332916
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,99,16806.6647407068,169.76429031017
Enedis,Electricité,2018,53,Bretagne,ENT,INDUSTRIE,573,47923.6673206354,83.63641766254
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,117,10148.9803135621,86.7434214834368
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,672,266381.641160317,396.401251726662
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,36,8235.37785350041,228.760495930567
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,142,105015.703905515,739.547210602218
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,8,575.151930065936,71.893991258242
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,613,52521.3726910971,85.6792376690002
Enedis,Electricité,2018,53,Bretagne,ENT,TERTIAIRE,1114,314642.107848182,282.443543849355
